iter	RMSE
0	108.2809553
1	106.5680698
2	105.110448
3	103.6171668
4	102.2500034
5	100.7960782
6	99.52399095
7	98.42020646
8	97.45117739
9	96.44054673
10	95.43600825
11	94.67825677
12	93.77498728
13	92.97057066
14	92.33237069
15	91.65139341
16	90.99799771
17	90.36330884
18	89.72662179
19	89.20574649
20	88.85679765
21	88.34175161
22	87.89082511
23	87.40835922
24	87.04726731
25	86.69446731
26	86.29014961
27	85.94012121
28	85.65201459
29	85.29956676
30	84.96271758
31	84.62037167
32	84.43228636
33	84.14895145
34	83.87301174
35	83.62384505
36	83.32446018
37	83.12346513
38	82.91587643
39	82.71436484
40	82.51722676
41	82.29652895
42	82.0535943
43	81.88222282
44	81.63727414
45	81.49219562
46	81.32490811
47	81.1236915
48	80.88329046
49	80.76166305
50	80.59316747
51	80.43487215
52	80.26717405
53	80.09878376
54	79.88701781
55	79.74057075
56	79.55484471
57	79.38848383
58	79.27226716
59	79.03423858
60	78.80596036
61	78.62599116
62	78.54153165
63	78.4229445
64	78.2821753
65	78.12506741
66	78.01872896
67	77.85338113
68	77.72201568
69	77.61192863
70	77.48442115
71	77.33886993
72	77.17584843
73	77.05584305
74	76.97310886
75	76.79122271
76	76.62886183
77	76.54389972
78	76.36175505
79	76.26382593
80	76.16460318
81	76.08031819
82	75.89844347
83	75.82746547
84	75.68934717
85	75.55511708
86	75.4641962
87	75.39858561
88	75.28008947
89	75.17639094
90	75.06975342
91	74.98093524
92	74.92194435
93	74.80690079
94	74.64893594
95	74.55750641
96	74.45439312
97	74.39189478
98	74.24927383
99	74.17843359
100	74.09891078
101	74.03000403
102	73.90182807
103	73.76636364
104	73.65557819
105	73.55897737
106	73.49509786
107	73.36316263
108	73.26698703
109	73.19310583
110	73.08331559
111	73.01035597
112	72.89474474
113	72.8193648
114	72.67420553
115	72.5701766
116	72.49468729
117	72.37128741
118	72.32498606
119	72.24914551
120	72.15708682
121	72.03806937
122	71.95793217
123	71.84320541
124	71.79966367
125	71.71426625
126	71.65807543
127	71.59792383
128	71.50241327
129	71.43163079
130	71.39309113
131	71.33312946
132	71.28328186
133	71.22989849
134	71.04792633
135	70.95950751
136	70.91212476
137	70.86025032
138	70.81571418
139	70.7231838
140	70.62020242
141	70.55818585
142	70.50379612
143	70.42064817
144	70.31319104
145	70.25177043
146	70.09728035
147	69.94713555
148	69.86536087
149	69.79949383
150	69.66522151
151	69.58152012
152	69.48279333
153	69.44036461
154	69.3490865
155	69.24749562
156	69.18369531
157	69.11531367
158	69.04314474
159	68.9521399
160	68.84597724
161	68.74627141
162	68.69809251
163	68.56532277
164	68.51244278
165	68.41997878
166	68.37162679
167	68.24910579
168	68.19631825
169	68.09452182
170	68.02646467
171	67.96788652
172	67.86730323
173	67.77553076
174	67.68017723
175	67.57771732
176	67.48912736
177	67.43377991
178	67.31536525
179	67.21018474
180	67.1267446
181	67.0067523
182	66.94177509
183	66.8251672
184	66.74157927
185	66.6770826
186	66.62309232
187	66.54289671
188	66.48034548
189	66.39343156
190	66.35823518
191	66.25724108
192	66.18798289
193	66.14420199
194	66.09280013
195	66.02376674
196	65.96460821
197	65.90834102
198	65.82388611
199	65.72616752
200	65.65104189
201	65.60012487
202	65.56331753
203	65.46943443
204	65.38134478
205	65.3179485
206	65.24998804
207	65.15718339
208	65.06855138
209	64.99910552
210	64.94495922
211	64.80410847
212	64.7385088
213	64.6863534
214	64.63915547
215	64.57118449
216	64.49348454
217	64.4176484
218	64.35322837
219	64.29926655
220	64.24234247
221	64.17264598
222	64.09360699
223	64.0599083
224	63.98921077
225	63.94541593
226	63.89166724
227	63.81642383
228	63.733865
229	63.67040334
230	63.58778325
231	63.5221566
232	63.45927732
233	63.4050824
234	63.3273597
235	63.28605511
236	63.19781667
237	63.14370521
238	63.1013431
239	63.05667124
240	62.97743191
241	62.92611859
242	62.8513189
243	62.8027146
244	62.7513305
245	62.67669415
246	62.62602757
247	62.56320659
248	62.4979957
249	62.43009907
250	62.36709034
251	62.31078793
252	62.21961747
253	62.17072863
254	62.11561448
255	62.07712641
256	62.03349418
257	61.96434086
258	61.89262483
259	61.86291179
260	61.81120698
261	61.73454641
262	61.66593708
263	61.60209428
264	61.54230426
265	61.48725375
266	61.45053221
267	61.40112158
268	61.35098688
269	61.31487528
270	61.25994149
271	61.20486026
272	61.12406856
273	61.08980025
274	61.03815977
275	60.96935294
276	60.92634501
277	60.88652302
278	60.82958449
279	60.79211467
280	60.72398178
281	60.69329421
282	60.66445911
283	60.61224944
284	60.53917578
285	60.47538896
286	60.42184691
287	60.37607149
288	60.32286876
289	60.2612992
290	60.20541936
291	60.14487607
292	60.07806531
293	60.03424935
294	59.99394979
295	59.94064264
296	59.890366
297	59.82660838
298	59.77546979
299	59.701117
